formula,method,seed_count,epoch_seed_points,objective_first5,objective_last5,objective_last5_minus_first5,raw_score_first5,raw_score_last5,raw_score_last5_minus_first5,clip_fraction_mean,approx_kl_old_mean,ratio_mean
Zr,peak,3,75,0.0067590666666666665,0.004011333333333333,-0.0027477333333333336,0.41278333333333334,0.4185512,0.005767866666666677,0.0,0.00013637333333333334,0.9993028133333334
Zr,peak_penalized,3,75,0.005994333333333333,0.0032673333333333335,-0.002727,0.3372072,0.34399073333333335,0.006783533333333369,0.0,0.000151,0.9988528666666666
NbS2,peak,3,75,0.011949,-0.0086848,-0.0206338,0.35706546666666666,0.35703586666666665,-2.96000000000185e-05,0.0008333333333333334,0.0006099333333333334,0.9980513733333334
NbS2,peak_penalized,3,75,0.013538866666666666,-0.0037929333333333332,-0.0173318,0.2833848,0.27968873333333333,-0.003696066666666664,0.0004166666666666667,0.0006193066666666667,0.99821368
Li2TeC2,peak,3,75,0.004070066666666667,0.0022271333333333332,-0.0018429333333333337,0.30046406666666664,0.30509373333333334,0.004629666666666699,0.0,3.7546666666666664e-05,1.0004423733333334
Li2TeC2,peak_penalized,3,75,0.004393666666666666,0.0013439333333333334,-0.003049733333333333,0.21065433333333333,0.21197466666666667,0.00132033333333334,0.0,3.592e-05,1.0002499733333334
NaNiH3,peak,3,75,0.005835066666666667,-8.726666666666671e-05,-0.005922333333333334,0.4280046,0.43590406666666665,0.007899466666666632,0.0,0.00013229333333333334,0.9983155866666666
NaNiH3,peak_penalized,3,75,0.006392933333333333,-0.0026552,-0.009048133333333333,0.3347561333333333,0.338171,0.0034148666666666827,0.0,0.00014825333333333334,0.99878624
