formula,method,epoch_start,epoch_end,epoch_seed_points,raw_score_mean,raw_score_std,reward_mean,reward_std,ppo_objective_mean,ppo_objective_std,zero_scores,mean_unique_WA
Zr,cosine,1,10,30,0.24326096666666666,0.041700212640131976,-0.2643761666666667,0.08112225374050508,0.1335891,0.11515736359010366,0,7.333333333333333
Zr,cosine,11,20,30,0.2518062,0.04052238628165918,-0.33779706666666665,0.055808193712592255,0.18875396666666666,0.08110079016815365,1,7.433333333333334
Zr,cosine,21,30,30,0.2459336,0.046584581466832996,-0.386272,0.05126654774997045,0.22127876666666665,0.12094656724484669,0,7.233333333333333
Zr,cosine,31,40,30,0.24488303333333333,0.033096171123443,-0.4148317,0.044344390179705935,0.2582409666666667,0.1415073407993341,0,7.033333333333333
Zr,cosine,41,50,30,0.22854683333333334,0.0433468526678184,-0.4341534,0.07210020097688125,0.2983732666666667,0.13512738088335596,2,7.133333333333334
Zr,cosine,51,60,30,0.24916996666666666,0.04332853395895391,-0.4219292333333333,0.047532385469756876,0.33459066666666665,0.1302320999974874,1,7.3
Zr,cosine,61,70,30,0.24203526666666667,0.0411237802185332,-0.43121306666666664,0.05428779157228221,0.36003983333333334,0.14137058600620883,2,7.233333333333333
Zr,cosine,71,80,30,0.254028,0.042539253415326106,-0.42282749999999997,0.05071253065252544,0.37445086666666666,0.1380784859285311,0,7.066666666666666
Zr,cosine,81,90,30,0.24727623333333335,0.04800143949902845,-0.431125,0.05169573577449755,0.37539436666666665,0.12321437713986771,1,7.433333333333334
Zr,cosine,91,100,30,0.2505536333333333,0.0411733432392718,-0.4278476,0.04674605830056691,0.3877662,0.12439327325258924,3,7.366666666666666
Zr,peak,1,10,30,0.4184000666666667,0.02409693770853236,-0.20755626666666666,0.10450387831461355,0.24591469999999999,0.09787423059047089,0,7.4
Zr,peak,11,20,30,0.42070456666666667,0.029223761298736953,-0.2943047,0.09902096272680515,0.3034711333333333,0.12245684347522418,0,7.433333333333334
Zr,peak,21,30,30,0.4127,0.02180410821687815,-0.3509217,0.04509292209881723,0.3621937,0.1656992692418306,0,7.2
Zr,peak,31,40,30,0.4173903666666667,0.0198720629921897,-0.34623123333333333,0.0404144154971823,0.43579186666666664,0.18055766929797126,0,7.066666666666666
Zr,peak,41,50,30,0.42109803333333334,0.020912657748332442,-0.3620971,0.05436755210929278,0.4631828,0.1657375910863113,2,7.266666666666667
Zr,peak,51,60,30,0.41945313333333334,0.021789123084287307,-0.3713917666666667,0.05773388928678622,0.4840121,0.18187652534367926,1,7.333333333333333
Zr,peak,61,70,30,0.4156933,0.02381151443055789,-0.3751516,0.058667242141647216,0.5099306333333333,0.18260576496914208,2,7.2
Zr,peak,71,80,30,0.423825,0.027402824207247937,-0.36925933333333333,0.05959605609117286,0.5142877333333333,0.16783209945516647,0,7.033333333333333
Zr,peak,81,90,30,0.42394956666666667,0.02856249900561146,-0.39936926666666667,0.08051417032379386,0.5059811,0.1462652700329895,1,7.433333333333334
Zr,peak,91,100,30,0.41044536666666664,0.02405583285537118,-0.4357934666666667,0.0992983574948862,0.5074419333333333,0.15527722089023732,3,7.4
NbS2,cosine,1,10,30,0.5535281666666667,0.04506208811264988,-0.20584453333333333,0.04764296065648687,6.3723347,0.29610638641150017,5,3.9
NbS2,cosine,11,20,30,0.5717906,0.04687154247131195,-0.2152794,0.05266715472259094,6.610865566666667,0.2640524813634193,2,4.266666666666667
NbS2,cosine,21,30,30,0.5614898666666667,0.0344963013811948,-0.23959343333333333,0.03725022800796735,6.715257266666667,0.2307298680162487,3,3.8666666666666667
NbS2,cosine,31,40,30,0.5734042333333333,0.0364576655777477,-0.2276791,0.0358507957869371,6.826009,0.23151331798077326,2,3.8333333333333335
NbS2,cosine,41,50,30,0.5657490000000001,0.0333173402069653,-0.2371637,0.03524229231869951,6.886598466666666,0.22267718321473548,3,4.3
NbS2,cosine,51,60,30,0.5705292333333334,0.05391779402552453,-0.23556226666666666,0.0533959789740347,6.958796633333334,0.2201095675395148,4,3.9
