formula,checkpoint_epoch,metric,comparison,pairs,mean_difference,std_difference,positive_pairs,negative_pairs,zero_pairs,exact_sign_flip_p_two_sided
Zr,100,formula_match_sampler,peak_minus_base,3,0.0,0.0,0,0,3,1.0
Zr,100,top10_peak_structure_matches,peak_minus_cosine,3,0.0,0.0,0,0,3,1.0
Zr,100,top10_peak_structure_matches,cosine_minus_base,3,0.0,0.0,0,0,3,1.0
Zr,100,top10_peak_structure_matches,peak_minus_base,3,0.0,0.0,0,0,3,1.0
Zr,100,top10_cosine_structure_matches,peak_minus_cosine,3,0.0,0.0,0,0,3,1.0
Zr,100,top10_cosine_structure_matches,cosine_minus_base,3,0.0,0.0,0,0,3,1.0
Zr,100,top10_cosine_structure_matches,peak_minus_base,3,0.0,0.0,0,0,3,1.0
NbS2,20,mean_peak_score,peak_minus_cosine,3,-0.0004471504098200925,0.002842276233607576,1,2,0,0.75
NbS2,20,mean_peak_score,cosine_minus_base,3,-0.002495564585980011,0.003958794195052115,1,2,0,0.5
NbS2,20,mean_peak_score,peak_minus_base,3,-0.0029427149958001033,0.0014249139742937217,0,3,0,0.25
NbS2,20,mean_cosine_score,peak_minus_cosine,3,-0.000919001212134433,0.0015102509527019018,1,2,0,0.75
NbS2,20,mean_cosine_score,cosine_minus_base,3,0.0006183310270443018,0.0027958772998639384,1,2,0,1.0
NbS2,20,mean_cosine_score,peak_minus_base,3,-0.00030067018509013127,0.0015012841359063663,1,2,0,0.75
NbS2,20,structure_matches,peak_minus_cosine,3,0.0,0.0,0,0,3,1.0
NbS2,20,structure_matches,cosine_minus_base,3,0.0,0.0,0,0,3,1.0
NbS2,20,structure_matches,peak_minus_base,3,0.0,0.0,0,0,3,1.0
NbS2,20,valid_xrd,peak_minus_cosine,3,0.3333333333333333,0.4714045207910317,1,0,2,1.0
NbS2,20,valid_xrd,cosine_minus_base,3,-0.3333333333333333,0.4714045207910317,0,1,2,1.0
NbS2,20,valid_xrd,peak_minus_base,3,0.0,0.0,0,0,3,1.0
NbS2,20,formula_match_sampler,peak_minus_cosine,3,0.0,0.0,0,0,3,1.0
NbS2,20,formula_match_sampler,cosine_minus_base,3,0.0,0.0,0,0,3,1.0
NbS2,20,formula_match_sampler,peak_minus_base,3,0.0,0.0,0,0,3,1.0
NbS2,20,top10_peak_structure_matches,peak_minus_cosine,3,0.0,0.0,0,0,3,1.0
NbS2,20,top10_peak_structure_matches,cosine_minus_base,3,0.0,0.0,0,0,3,1.0
NbS2,20,top10_peak_structure_matches,peak_minus_base,3,0.0,0.0,0,0,3,1.0
NbS2,20,top10_cosine_structure_matches,peak_minus_cosine,3,0.0,0.0,0,0,3,1.0
NbS2,20,top10_cosine_structure_matches,cosine_minus_base,3,0.0,0.0,0,0,3,1.0
NbS2,20,top10_cosine_structure_matches,peak_minus_base,3,0.0,0.0,0,0,3,1.0
NbS2,50,mean_peak_score,peak_minus_cosine,3,0.005203190827894,0.006346009179755552,3,0,0,0.25
NbS2,50,mean_peak_score,cosine_minus_base,3,-0.0027861808455002892,0.005920066202849779,2,1,0,1.0
NbS2,50,mean_peak_score,peak_minus_base,3,0.0024170099823937106,0.0006169041608850816,3,0,0,0.25
NbS2,50,mean_cosine_score,peak_minus_cosine,3,-0.0083933192769818,0.0064519657922563,1,2,0,0.5
NbS2,50,mean_cosine_score,cosine_minus_base,3,0.0039049868690153775,0.004704905534537505,2,1,0,0.5
NbS2,50,mean_cosine_score,peak_minus_base,3,-0.004488332407966422,0.004340813062731479,0,3,0,0.25
NbS2,50,structure_matches,peak_minus_cosine,3,0.0,0.0,0,0,3,1.0
NbS2,50,structure_matches,cosine_minus_base,3,0.0,0.0,0,0,3,1.0
NbS2,50,structure_matches,peak_minus_base,3,0.0,0.0,0,0,3,1.0
NbS2,50,valid_xrd,peak_minus_cosine,3,0.3333333333333333,0.4714045207910317,1,0,2,1.0
NbS2,50,valid_xrd,cosine_minus_base,3,0.0,0.816496580927726,1,1,1,1.0
NbS2,50,valid_xrd,peak_minus_base,3,0.3333333333333333,0.4714045207910317,1,0,2,1.0
NbS2,50,formula_match_sampler,peak_minus_cosine,3,0.0,0.0,0,0,3,1.0
NbS2,50,formula_match_sampler,cosine_minus_base,3,0.0,0.0,0,0,3,1.0
NbS2,50,formula_match_sampler,peak_minus_base,3,0.0,0.0,0,0,3,1.0
NbS2,50,top10_peak_structure_matches,peak_minus_cosine,3,0.0,0.0,0,0,3,1.0
NbS2,50,top10_peak_structure_matches,cosine_minus_base,3,0.0,0.0,0,0,3,1.0
NbS2,50,top10_peak_structure_matches,peak_minus_base,3,0.0,0.0,0,0,3,1.0
NbS2,50,top10_cosine_structure_matches,peak_minus_cosine,3,0.0,0.0,0,0,3,1.0
NbS2,50,top10_cosine_structure_matches,cosine_minus_base,3,0.0,0.0,0,0,3,1.0
NbS2,50,top10_cosine_structure_matches,peak_minus_base,3,0.0,0.0,0,0,3,1.0
NbS2,100,mean_peak_score,peak_minus_cosine,3,0.0016329794804088766,0.005900693646236445,1,2,0,1.0
NbS2,100,mean_peak_score,cosine_minus_base,3,-0.001993517966652832,0.0040371926342280375,1,2,0,0.75
NbS2,100,mean_peak_score,peak_minus_base,3,-0.00036053848624395535,0.00377575893854026,2,1,0,1.0
NbS2,100,mean_cosine_score,peak_minus_cosine,3,-0.0061188664104377954,0.004062749704679753,0,3,0,0.25
NbS2,100,mean_cosine_score,cosine_minus_base,3,0.001668758368396121,0.0015223366181736074,2,1,0,0.5
NbS2,100,mean_cosine_score,peak_minus_base,3,-0.004450108042041674,0.0029105478866015156,0,3,0,0.25
NbS2,100,structure_matches,peak_minus_cosine,3,0.0,0.0,0,0,3,1.0
NbS2,100,structure_matches,cosine_minus_base,3,0.0,0.0,0,0,3,1.0
NbS2,100,structure_matches,peak_minus_base,3,0.0,0.0,0,0,3,1.0
NbS2,100,valid_xrd,peak_minus_cosine,3,0.6666666666666666,0.4714045207910317,2,0,1,0.5
NbS2,100,valid_xrd,cosine_minus_base,3,-0.3333333333333333,0.9428090415820634,1,2,0,1.0
NbS2,100,valid_xrd,peak_minus_base,3,0.3333333333333333,0.4714045207910317,1,0,2,1.0
NbS2,100,formula_match_sampler,peak_minus_cosine,3,0.0,0.0,0,0,3,1.0
NbS2,100,formula_match_sampler,cosine_minus_base,3,0.0,0.0,0,0,3,1.0
NbS2,100,formula_match_sampler,peak_minus_base,3,0.0,0.0,0,0,3,1.0
NbS2,100,top10_peak_structure_matches,peak_minus_cosine,3,0.0,0.0,0,0,3,1.0
NbS2,100,top10_peak_structure_matches,cosine_minus_base,3,0.0,0.0,0,0,3,1.0
NbS2,100,top10_peak_structure_matches,peak_minus_base,3,0.0,0.0,0,0,3,1.0
NbS2,100,top10_cosine_structure_matches,peak_minus_cosine,3,0.0,0.0,0,0,3,1.0
NbS2,100,top10_cosine_structure_matches,cosine_minus_base,3,0.0,0.0,0,0,3,1.0
NbS2,100,top10_cosine_structure_matches,peak_minus_base,3,0.0,0.0,0,0,3,1.0
Li2TeC2,20,mean_peak_score,peak_minus_cosine,3,-0.0007180431018616132,0.00670660225907204,2,1,0,1.0
Li2TeC2,20,mean_peak_score,cosine_minus_base,3,0.006090763734369471,0.0056111233301494035,2,1,0,0.5
